titulo,link,modelo,marca,tarjeta_de_video,procesador_de_video,ram,cant_entrada_usb,hdmi,pantalla,tipo_disco,disco_duro,disco_solido,camara,tipo_de_pantalla,sistema_operativo,alto_cm,ancho_cm,profundidad_cm
,https://www.plazavea.com.pe/notebook-lenovo-ideapad-5-14itl05-14-ci5-1135g7-8gb-256gb/p,,,,,,,,,,,,,,,,,
,https://www.plazavea.com.pe/notebook-acer-a51554593d-15-6--intel-core-i5-8gb-256gb-ssd/p,,,,,,,,,,,,,,,,,
Notebook HP 15-DW1085LA 15'' Intel Ci3 4GB 256GB SSD,https://www.plazavea.com.pe/notebook-hp-15dw1085la-15-intel-ci3-4gb-256gb-ssd/p,HP 15-DW1085LA,,Intel,Intel Core i3 10ma generación,4GB,2,1,15.6 Pulgadas,SATA,256GB SSD,256GBSSD,Sí,,,,,
,https://www.plazavea.com.pe/notebook-acer-a31557g57my-15-6--intel-core-i5-8gb-512gb-ssd/p,,,,,,,,,,,,,,,,,
,https://www.plazavea.com.pe/notebook-hp-16d0503la-16-1-intel-core-i5-11va-generacion-8gb-256gb-ssd/p,,,,,,,,,,,,,,,,,
,https://www.plazavea.com.pe/notebook-hp-15eh0010la-15-amd-r7-8gb-512gb-ssd/p,,,,,,,,,,,,,,,,,
Laptop ASUS X415EA-EK1177W 14'' Intel Core i3 11va generación 8GB 256GB SSD,https://www.plazavea.com.pe/laptop-asus-x415eaek1177w-14-intel-core-i3-11va-generacion-8gb-256gb-ssd/p,X415EA-EK1177W,,Intel,Intel Core i3 11va generación,8GB,4,1,14 Pulgadas,SSD,256GB SSD,Sí,Sí,FHD,,1.99,32.5,21.6
Impresora Multifuncional HP Ink Tank 315,https://www.plazavea.com.pe/impresora-multifuncional-hp-ink-tank-315/p,Ink Tank 315,,,,,1,,,,,,,,,15.8 cm,52.5 cm,31 cm
Laptop ASUS FX506LH-HN004W 15.6'' Intel Core i5 10ma generación 8GB 512GB SSD,https://www.plazavea.com.pe/laptop-asus-fx506lhhn004w-15-6-intel-core-i5-10ma-generacion-8gb-512gb-ssd/p,FX506LH-HN004W,,NVIDIA,Intel Core i5 10ma generación,8GB,4,1,15.6 Pulgadas,SSD,512GB SSD,Sí,Sí,FHD IPS,,2.47,35.9,25.6
Laptop ASUS G513IC-HN046W 15.6'' AMD Ryzen 7 (4000 series) 16GB 512GB SSD,https://www.plazavea.com.pe/laptop-asus-g513ichn046w-15-6-amd-ryzen-7-4000-series-16gb-512gb-ssd/p,G513IC-HN046W,,NVIDIA,AMD Ryzen 7 (4000 series),16GB,4,1,15.6 Pulgadas,SSD,512GB SSD,Sí,Sí,FHD IPS,Windows 10,2.06,35.4,25.9
,https://www.plazavea.com.pe/matebook-huawei-nobelbwai9b-14-intel-core-i3-10ma-generacion-8gb-256gb-ssd/p,,,,,,,,,,,,,,,,,
,https://www.plazavea.com.pe/notebook-lenovo-yoga-slim7-14itl05-14-ci7-1165g7-16gb-512gb/p,,,,,,,,,,,,,,,,,
Laptop DELL 3501 15.6'' Intel Core i5 1135G7 8GB 256GB SSD,https://www.plazavea.com.pe/laptop-dell-3501-15-6-intel-core-i5-1135g7-8gb-256gb-ssd/p,1135G7,,Intel,Intel Core i5 11va generación,8GB,1,1,15.6 Pulgadas,SSD,256GB SSD,,,,Windows 10 Home,31.2,7.1,
Laptop ASUS FA506IC-HN042W 15.6'' AMD Ryzen 5 (5000 series) 8GB 512GB SSD,https://www.plazavea.com.pe/laptop-asus-fa506ichn042w-15-6-amd-ryzen-5-5000-series-8gb-512gb-ssd/p,FA506IC-HN042W,,NVIDIA,AMD Ryzen 5 (5000 series),8GB,4,1,15.6 Pulgadas,SSD,512GB SSD,Sí,Sí,FHD IPS,Windows 10,2.47,35.9,25.6
Laptop ASUS UX325EA-KG645W 13'' Intel Core i5 11va generación 8GB 512GB SSD,https://www.plazavea.com.pe/laptop-asus-ux325eakg645w-13-intel-core-i5-11va-generacion-8gb-512gb-ssd/p,UX325EA-KG645W,,Intel,Intel Core i5 11va generación,8GB,1,1,13 Pulgadas,SSD,512GB SSD,Sí,Sí,FHD IPS,,1.39,30.4,20.3
"Notebook ACER A515-54-30MJ 15.6"" Intel Core i3 8GB 256GB SSD",https://www.plazavea.com.pe/notebook-acer-a5155430mj-15-6--intel-core-i3-8gb-256gb-ssd/p,A515-54-30MJ,,,Intel Core i3 10ma generación,8GB,4,1,15.6 Pulgadas,SSD,256GB SSD,,Sí,LED IPS,Windows 10,1.7,36.3,31.0
Laptop ASUS M415DA-EB900T 14'' AMD Ryzen 7 16GB 512GB SSD,https://www.plazavea.com.pe/laptop-asus-m415daeb900t-14-amd-ryzen-7-16gb-512gb-ssd/p,M415DA-EB900T,,AMD,AMD Ryzen 7 (3000 series),16GB,4,1,14 Pulgadas,SSD,512GB SSD,Sí,Sí,FHD,Windows 11,1.99,32.5,21.6
"Notebook ACER AN515-55-73XJ 15.6"" Intel Core i7 16GB 256GB SSD",https://www.plazavea.com.pe/notebook-acer-an5155573xj-15-6--intel-core-i7-16gb-256gb-ssd/p,AN515-55-73XJ,,NVIDIA,Intel Core i7 10ma generación,16GB,4,1,15.6 Pulgadas,HDD,256GB SSD,,Sí,LED IPS,Windows 10,2.3,36.3,31.0
,https://www.plazavea.com.pe/matebook-huawei-nobelbwah9e-14-intel-core-i5-10ma-generacion-8gb-512gb-ssd/p,,,,,,,,,,,,,,,,,
"Notebook ACER AN515-55-51G3 15.6"" Intel Core i5 8GB 256GB SSD",https://www.plazavea.com.pe/notebook-acer-an5155551g3-15-6--intel-core-i5-8gb-256gb-ssd/p,,,,,,,,,,,,,,,,,
,https://www.plazavea.com.pe/mouse-inalambrico-fiddler-fd-223b/p,,,,,,,,,,,,,,,,,
Notebook LENOVO IdeaPad 3 14IML05 14'' CI3 10110U 4GB 256GB,https://www.plazavea.com.pe/notebook-lenovo-ideapad-3-14iml05-14-ci3-10110u-4gb-256gb/p,IP 3 14IML05,,Intel,Intel Core i3 10ma generación,4GB,2,1,14 Pulgadas,SSD,256GB HDD,256 GB,Sí,HD,,,,
Notebook LENOVO IdeaPad 3 15IIL05 15.6'' CI5 1035G4 8GB 1TB,https://www.plazavea.com.pe/notebook-lenovo-ideapad-3-15iil05-15-6-ci5-1035g4-8gb-1tb/p,IDEAPAD 3 15IILO5,,,Intel Core i5 10ma generación,8GB,2,1,15.6 Pulgadas,,1TB HDD,,,HD,,,,
Mouse Inalámbrico FIDDLER FD-223W,https://www.plazavea.com.pe/mouse-inalambrico-fiddler-fd-223w/p,FD-223W,,,,,,,,,,,,,,19.7,13,4.5
,https://www.plazavea.com.pe/notebook-hp-16d0505la-16-1-intel-core-i5-11va-generacion-16gb-512gb-ssd/p,,,,,,,,,,,,,,,,,
Laptop ASUS K513EA-L12004W 15.6'' Intel Core i5 11va generación 8GB 512GB SSD,https://www.plazavea.com.pe/laptop-asus-k513eal12004w-15-6-intel-core-i5-11va-generacion-8gb-512gb-ssd/p,K513EA-L12004W,,Intel,Intel Core i5 11va generación,8GB,4,1,15.6 Pulgadas,SSD,512GB SSD,Sí,Sí,OLED,,1.79,35.9,23.5
Laptop ASUS M3401QC-KM160W 14'' AMD Ryzen 5 (5000 series) 8GB 512GB SSD,https://www.plazavea.com.pe/laptop-asus-m3401qckm160w-14-amd-ryzen-5-5000-series-8gb-512gb-ssd/p,M3401QC-KM160W,,AMD,AMD Ryzen 5 (5000 series),8GB,4,1,14 Pulgadas,SSD,512GB SSD,Sí,Sí,OLED 2.8K,Windows 10,1.92,31.7,22.9
Laptop ASUS M415DA-EB893T 14'' AMD Ryzen 5 8GB 256GB SSD,https://www.plazavea.com.pe/laptop-asus-m415daeb893t-14-amd-ryzen-5-8gb-256gb-ssd/p,M415DA-EB893T,,AMD,AMD Ryzen 5 (3000 series),8GB,4,1,14 Pulgadas,SSD,256GB SSD,Sí,Sí,FHD,Windows 11,1.99,32.5,21.6
"Notebook ACER AN515-55-777V 15.6"" Intel Core i7 16GB 256GB SSD",https://www.plazavea.com.pe/notebook-acer-an51555777v-15-6--intel-core-i7-16gb-256gb-ssd/p,AN515-55-777V,,NVIDIA,Intel Core i7 10ma generación,16GB,4,1,15.6 Pulgadas,HDD/SSD,256GB SSD,,Sí,LED IPS,Windows 10,2.3,36.3,31.0
,https://www.plazavea.com.pe/funda-para-laptop-blackline-15-print-1-blanco-negro-y-rosa/p,,,,,,,,,,,,,,,,,
Laptop ASUS X415JA-EB1361W 14'' Intel Core i5 10ma generación 8GB 256GB SSD,https://www.plazavea.com.pe/laptop-asus-x415jaeb1361w-14-intel-core-i5-10ma-generacion-8gb-256gb-ssd/p,X415JA-EB1361W,,Intel,Intel Core i5 10ma generación,8GB,4,1,14 Pulgadas,SSD,256GB SSD,Sí,Sí,FHD IPS,,1.99,32.5,21.6
,https://www.plazavea.com.pe/laptop-asus-e510mabr883ws-15-6-intel-celeron-4gb-128gb-ssd/p,,,,,,,,,,,,,,,,,
Funda para Laptop BLACKLINE 15'' Executive 1 Negro,https://www.plazavea.com.pe/funda-para-laptop-blackline-15-executive-1-negro/p,6BLA1310003,,,,,,,,,,,,,,28,37,
Notebook HP 15-ef2507la 15.6'' AMD Ryzen 5 (5000 series) 8GB 512GB SSD,https://www.plazavea.com.pe/notebook-hp-15ef2507la-15-6-amd-ryzen-5-5000-series-8gb-512gb-ssd/p,15-ef2507la,,AMD,AMD Ryzen 5 (5000 series),8GB,2,1,15.6 Pulgadas,SATA/SSD,512GB SSD,512GB PCIe value,Sí,,Windows 10 Home,69.1,483.1,304.8
Notebook ACER AN515-54-56TP 15.6'' Intel Core i5 9300H 8GB  512GB,https://www.plazavea.com.pe/notebook-acer-an5155456tp-15-6-intel-core-i5-9300h-8gb512gb/p,AN515-54-56TP,,NVIDIA,Intel Core i5 9na generación,8GB,4,1,15.6 Pulgadas,,,512 Gb,Sí,LED IPS,Windows 10,2.50cm,36.3cm,
,https://www.plazavea.com.pe/notebook-hp-15dw2032la-15--intel-ci5-1tb/p,,,,,,,,,,,,,,,,,
Funda para Laptop BLACKLINE 15'' Print 2,https://www.plazavea.com.pe/funda-para-laptop-blackline-15-print-2/p,6BLA1310002,,,,,,,,,,,,,,28,37,
,https://www.plazavea.com.pe/estuche-para-tablet-disney-7-hk3/p,,,,,,,,,,,,,,,,,
,https://www.plazavea.com.pe/laptop-hp-15-cs-intel-i5-12gbram-512gb-ssd-touch-100167633/p,,,,,,,,,,,,,,,,,
Funda para Laptop BLACKLINE 15'' Executive 2 Rojo,https://www.plazavea.com.pe/funda-para-laptop-blackline-15-executive-2-rojo/p,6BLA1310004,,,,,,,,,,,,,,28,37,
"Notebook HUAWEI Matebook X Pro 13.9"" Intel Core i7 16GB 1TB",https://www.plazavea.com.pe/notebook-huawei-matebook-x-pro-13-9--intelcore-i7-16gb-1tb/p,Matebook X Pro,,NVIDIA,Intel Core i7,16GB,2,,13.9 Pulgadas,SSD,1TB HDD,SI,Sí,LTPS,Windows 10 Home,,,
"Mochila TARGUS 16""",https://www.plazavea.com.pe/mochila-targus-16/p,"16""",,,,,,,,,,,,,,No especifica,No especifica,
Laptop HP 17-ca AMD Ryzen 5 16GBRam 256GB SSD Windows 10,https://www.plazavea.com.pe/laptop-hp-17-ca-amd-ryzen-5-16gbram-256gb-ssd-windows-10-100198532/p,17-ca300,,AMD,AMD Ryzen 5 (4000 series),16GB,,1,,,256GB SSD,,Sí,,Windows 10,2.5,27,41
Laptop HP 17-CN Intel I5 12GBRam 1TB  Windows 10 - Laptop HP 17-CN Intel I5 12GBRam 1TB Windows 10,https://www.plazavea.com.pe/laptop-hp-17-cn-intel-i5-12gbram-1tb-windows-10-100198536/p,17-CN0053cl,,Intel,Intel Core i5 11va generación,12GB,,1,,,1TB,,Sí,,Windows 10,2.5,27,41
Laptop Lenovo 15IIL Intel I7 8GBRAM 256GB SSD X360 Touch Win10 - LAPTOP LENOVO 15IIL INTEL I7 8GBRAM 256GB SSD X360 TOUCH WIN10,https://www.plazavea.com.pe/laptop-lenovo-15iil-intel-i7-8gbram-256gb-ssd-x360-touch-win10-100167636/p,15IIL05,,Intel,Intel Core i7 10ma generación,8GB,,1,15.6 Pulgadas,,256GB SSD,,Sí,,Windows 10,50,35,
Laptop Lenovo S340- Intel I7 8GB Ram 256GB SSD,https://www.plazavea.com.pe/laptop-lenovo-s340-intel-i7-8gb-ram-256gb-ssd-100167597/p,S340-15IIL,,,Intel Core i7 10ma generación,8GB,,1,15.6 Pulgadas,,256GB,256,Sí,,Windows 10,36,25,2
Mouse Inalámbrico FIDDLER FD-223G,https://www.plazavea.com.pe/mouse-inalambrico-fiddler-fd-223g/p,FD-223G,,,,,,,,,,,,,,19.7,13,4.5
,https://www.plazavea.com.pe/laptop-euro-system-cyber-plus-metalica-core-i3-8-gb-ram-256-ssd-15-6-fhd-ips-2-usb-3-0-1-hdmi-1-m-100204430/p,,,,,,,,,,,,,,,,,
"Laptop HP 14-CF2519LA 14"" Core i3 8GB RAM 256GB SSD FreeDos",https://www.plazavea.com.pe/laptop-hp-14-cf2519la-14-core-i3-8gb-ram-256gb-ssd-freedos-100136293/p,14-CF2519LA,,,Intel Core i3 10ma generación,8GB,,,,,,Sí,,,FreeDOS,2,32,22
Base Refrigerante para Laptops Wesdar,https://www.plazavea.com.pe/base-refrigerante-para-laptops-wesdar-100393611-100393611/p,Base refrigerante,,,,,,,,,,,,,,,,
Notebook HP 15-ef2502la 15.6'' AMD Ryzen 3 (5000 series) 8GB 256GB SSD,https://www.plazavea.com.pe/notebook-hp-15ef2502la-15-6-amd-ryzen-3-5000-series-8gb-256gb-ssd/p,15-ef2502la,,AMD,AMD Ryzen 3 (5000 series),8GB,2,1,15.6 Pulgadas,SATA/SSD,256GB SSD,256GB PCIe value,Sí,,Windows 10 Home,69.1,483.1,304.8
Soporte Startech Base Portátil Ergonómica Ajustable Para Laptops - LTRISERP,https://www.plazavea.com.pe/soporte-startech-base-portatil-ergonomica-ajustable-para-laptops-ltriserp-100375918/p,,,,,,,,,,,,,,,,,
"Combo HP 250 G8 Core i5-1035G1 8GB RAM 1TB HDD 15.6"" HD FreeDos + Mochila + Mouse",https://www.plazavea.com.pe/combo-hp-250-g8-core-i5-1035g1-8gb-ram-1tb-hdd-15-6-hd-freedos-mochila-mouse-100143798/p,2P5M2LT,,,Intel Core i5 10ma generación,8GB,,,,,,,,,,2,36,26
"Combo HP Laptop 250 G8 Core i3 4GB RAM 1TB HDD 15.6"" + Mochila Prelude + Mouse Inalambrico",https://www.plazavea.com.pe/combo-hp-laptop-250-g7-core-i3-4gb-ram-1tb-hdd-15-6-mochila-prelude-mouse-inalambrico-100123581/p,250 G7,,,Intel Core i3 10ma generación,4GB,,,,,,,,,,40,15,50
"Laptop Lenovo V15 IIL 15.6"" Core i5 1 TB HDD 8 GB RAM Video NVIDIA",https://www.plazavea.com.pe/laptop-lenovo-v15-iil-15-6-core-i5-1-tb-hdd-8-gb-ram-video-nvidia-100202909/p,V15 IIL,,NVIDIA,Intel Core i5 10ma generación,8GB,,1,15.6 Pulgadas,,1TB,No,Sí,,FreeDOS,2,36,25
"Laptop Lenovo V14 IIL 14"" Core i5 256 SSD 8 GB RAM",https://www.plazavea.com.pe/laptop-lenovo-v14-iil-14-core-i5-256-ssd-8-gb-ram-100202908/p,V14 IIL,,,Intel Core i5 10ma generación,8GB,,1,14 Pulgadas,,256GB SSD,Si,,,FreeDOS,2,32,24
Adaptador Ugreen USB tipo C a USB 3.0 con Llavero Para Laptops,https://www.plazavea.com.pe/adaptador-ugreen-usb-tipo-c-a-usb-3-0-con-llavero-para-laptops-100191733/p,,,,,,,,,,,,,,,,,
"Laptop Lenovo V15 IIL 15.6"" Core i7 1 TB HDD 8 GB RAM",https://www.plazavea.com.pe/laptop-lenovo-v15-iil-15-6-core-i7-1-tb-hdd-8-gb-ram-100202907/p,V15 IIL,,,Intel Core i7 10ma generación,8GB,,1,15.6 Pulgadas,,1TB,No,Sí,,FreeDOS,2,36,25
Laptop Lenovo Ideapad 1 14IGL05,https://www.plazavea.com.pe/laptop-lenovo-ideapad-1-100181158/p,Ideapad 1,,Intel,Intel Pentium,4GB,,1,14 Pulgadas,,128GB SSD,128GB,Sí,,Windows 10,32,11,12
Macbook Pro Apple M1 Chip 8gb Ram 256ssd Space Gray + Twelve South SuitCase,https://www.plazavea.com.pe/macbook-pro-apple-m1-chip-8gb-ram-256ssd-space-gray-twelve-south-suitcase-100180251/p,Pro M1 Chip,,,,8GB,,,13 Pulgadas,,256GB,,Sí,,,,,
Laptop Gamer MSI Sword 15 A11UdIntel Core I7-11800H Ram 8GB 512GB SSD White Black,https://www.plazavea.com.pe/laptop-gamer-msi-sword-15-a11udintel-core-i7-11800h-ram-8gb-512gb-ssd-white-black-100180752/p,A11UD-001US,,,Intel Core i7 10ma generación,8GB,,,,SSD,,512GB,,Full HD,Windows 10,8,24,
Macbook Air Apple M1 Chip 8gb Ram 256gb Ssd Gold + Twelve South SuitCase,https://www.plazavea.com.pe/macbook-air-apple-m1-chip-8gb-ram-256gb-ssd-gold-twelve-south-suitcase-100180246/p,Air M1 Chip,,,,8GB,,,13 Pulgadas,,256GB SSD,,,,,,,
Laptop Lenovo Ideapad 3 14 Gl05-Intel N5030 Ram 4GB Storage 128GB SSD Platinum Grey,https://www.plazavea.com.pe/laptop-lenovo-ideapad-3-14-gl05-intel-n5030-ram-4gb-storage-128gb-ssd-platinum-grey-100180736/p,81WH004LUS,,,Intel Pentium,4GB,,,,SSD,,128GB,,HD,Windows 10,8,24,
,https://www.plazavea.com.pe/notebook-lenovo-len-legion5-15imh05-15-6-intel-core-i5-1tb/p,,,,,,,,,,,,,,,,,
Macbook Air Apple M1 Chip 8gb Ram 256gb Ssd Space Gray + Twelve South SuitCase,https://www.plazavea.com.pe/macbook-air-apple-m1-chip-8gb-ram-256gb-ssd-space-gray-twelve-south-suitcase-100180247/p,Air M1 Chip,,,,8GB,,,13 Pulgadas,,256GB SSD,,Sí,,,,,
Laptop Gamer Plus  Intel Core i7 16 GB RAM 512 SSD - Laptop Gamer Plus Intel Core i7 16 GB RAM 512 SSD,https://www.plazavea.com.pe/laptop-gamer-plus-intel-core-i7-16-gb-ram-512-ssd-100168934/p,Gamer Plus,,NVIDIA,Intel Core i7 8va generación,16GB,,1,15.6 Pulgadas,,512GB SSD,Si de 512GB,Sí,,Windows 10 Pro,,,
Laptop Eurobook Pro 14.1” FHD IPS Celeron J4115 Quad Core 8GB 256 SSD,https://www.plazavea.com.pe/laptop-eurobook-pro-14-1%E2%80%9D-fhd-ips-celeron-j4115-quad-core-8gb-256-ssd-100168933/p,Eurobook Pro,,Intel,,8GB,,1,14 Pulgadas,,256GB SSD,Si,Sí,,"Windows 10, Windows, Windows 10 Pro",2,21,
,https://www.plazavea.com.pe/laptop-hp-255-g8-amd-ryzen-3-3250u-1tb-hdd-8gb-ram-15-6-fhd-freedos-100191239/p,,,,,,,,,,,,,,,,,
Adaptador Ugreen USB tipo C a USB 3.0 Para Celular y Laptops - Negro,https://www.plazavea.com.pe/adaptador-ugreen-usb-tipo-c-a-usb-3-0-para-celular-y-laptops-negro-100191729/p,,,,,,,,,,,,,,,,,
"Laptop Dell Latitude 3410 Core i3-10110U 1TB HDD 4GB RAM 14"" HD FreeDos",https://www.plazavea.com.pe/laptop-dell-latitude-3410-core-i3-10110u-1tb-hdd-4gb-ram-14-hd-freedos-100190713/p,,,,,,,,,,,,,,,,,
Laptop Lenovo Ideapad Flex 5,https://www.plazavea.com.pe/laptop-lenovo-ideapad-flex-5-100181159/p,Lenovo Ideapad Flex 5 14Are05,,AMD,AMD Ryzen 5 (4000 series),8GB,,1,14 Pulgadas,,8GB,256GB,Sí,,,29,12,12
"Laptop Euro System Euro Plus Core i5 8350U, 8 Gb RAM 512 SSD 15.6 FHD IPS, GForce MX150 2 GB.",https://www.plazavea.com.pe/laptop-euro-system-euro-plus-core-i5-8350u-8-gb-ram-512-ssd-15-6-fhd-ips-gforce-mx150-2-gb-100168932/p,Euro Plus,,NVIDIA,,8GB,,1,15.6 Pulgadas,,512GB SSD,512 SSD,Sí,,Windows 10 Pro,2.2,35.5,24
Laptop Lenovo 15ITL Intel I7 8GB Ram 512GB SSD X360Touch Win10,https://www.plazavea.com.pe/laptop-lenovo-15itl-intel-i7-8gb-ram-512gb-ssd-x360touch-win10-100167599/p,15ITL5,,Intel,Intel Core i7 11va generación,8GB,,,15.6 Pulgadas,,512GB SSD,512,Sí,,Windows 10,51,30,
LAptop Lenovo Ideapad S145-14IIL Sin Sistema Operativo - LAPTOP LENOVO IDEAPAD S145-14IIL -,https://www.plazavea.com.pe/laptop-lenovo-ideapad-s145-14iil-sin-sistema-operativo-100181160/p,Ideapad S145-14IIL,,,Intel Core i3 10ma generación,8GB,,1,14 Pulgadas,,1TB,,Sí,,,2,33,12
"Laptop Dell Vostro 3405 14"", Ryzen 5 3450U, 8GB RAM, 256GB SSD+HDD 1TB, Linux",https://www.plazavea.com.pe/laptop-dell-vostro-3405-14-ryzen-5-3450u-8gb-ram-256gb-ssd-hdd-1tb-linux-100154698/p,Vostro 3405,,,AMD Ryzen 5 (3000 series),8GB,,,,,,256GB,,,Linux,,,
"Laptop HP 14-CF2519LA 14"", Core I3-10110U, 16GB RAM, 256GB SSD, FreeDOS, Garantía 1 año",https://www.plazavea.com.pe/laptop-hp-14-cf2519la-14-core-i3-10110u-16gb-ram-256gb-ssd-freedos-garantia-1-ano-100154691/p,14-CF2519LA,,,Intel Core i3 10ma generación,16GB,,,,,,256GB,,,FreeDOS,,,
"Notebook Dell Vostro 14 3400, 14"" Hd, Core I5-1135G7 de Hasta 4.2ghz, 4GB Ddr4, 1tb Sata",https://www.plazavea.com.pe/notebook-dell-vostro-14-3400-14-hd-core-i5-1135g7-de-hasta-4-2ghz-4gb-ddr4-1tb-sata-100158511/p,VOSTRO 14 3400,,,,4GB,,,,,,,,,,24,1,32
,https://www.plazavea.com.pe/laptop-asus-14--hd-m08470-intel-celeron-n4000-4gb-ram-64gb-ssd-w10-reacondicionado-100154148/p,,,,,,,,,,,,,,,,,
Mesa Ergonómica iDock Multifuncional con Cooler para Laptops,https://www.plazavea.com.pe/mesa-ergonomica-idock-multifuncional-con-cooler-para-laptops-100154986/p,Mesa Ergonómica Multifuncional,,,,,,,,,,,,,,,,
"Laptop HP 14-CF2519LA 14"", Core I3-10110U, 8GB RAM, 256GB SSD, FreeDOS, Garantía 1 año",https://www.plazavea.com.pe/laptop-hp-14-cf2519la-14-core-i3-10110u-8gb-ram-256gb-ssd-freedos-garantia-1-ano-100154694/p,14-CF2519LA,,,Intel Core i3 10ma generación,8GB,,,,,,256GB,,,FreeDOS,,,
Laptop Chuwi  Herobook Pro 14.1 + Funda,https://www.plazavea.com.pe/laptop-chuwi-herobook-pro-14-1-funda-100163056/p,Herobook Pro 14.1,,,Intel Celeron,8GB,,,,,,256 GB SSD M.2 SATA.,,,Windows 10,5.4,38,33
